card,offered,taken,take_rate,shop_seen,shop_bought,removed,plays,runs_taken,win_rate_taken
paper_cut,19,1,5%,0,0,1,200,1,0%
cower_behind_a_desk,15,0,0%,0,0,2,122,0,
cursed_addendum,12,4,33%,0,0,0,32,2,0%
petty_objection,11,4,36%,0,0,0,17,2,0%
occult_precedent,9,4,44%,0,0,0,18,3,0%
waxing_authority,8,1,12%,0,0,0,8,1,0%
cauldron_copy,7,3,43%,0,0,0,31,1,0%
deferred_hex,7,0,0%,0,0,0,0,0,
deskward,6,0,0%,0,0,0,0,0,
protective_adjournment,6,1,17%,0,0,0,1,1,0%
counter_ward,5,2,40%,0,0,0,24,2,0%
grave_lien,5,2,40%,0,0,0,18,1,0%
seal_of_concern,5,2,40%,0,0,0,4,1,0%
strong_binder,5,0,0%,0,0,0,45,0,
certified_kindling,4,0,0%,0,0,0,0,0,
fine_print_hex,4,2,50%,0,0,0,13,2,0%
sealed_mantle,4,1,25%,0,0,0,9,1,0%
witchmark_citation,4,0,0%,0,0,0,0,0,
blood_marginalia,3,0,0%,0,0,0,0,0,
conditional_approval,3,2,67%,0,0,0,3,2,0%
form_of_ill_intent,3,0,0%,0,0,0,11,0,
malediction_review,3,1,33%,0,0,0,11,1,0%
mortgage_sigil,3,1,33%,0,0,0,2,1,0%
permit_a38,3,1,33%,0,0,0,50,1,0%
secure_misfiling,3,1,33%,0,0,0,6,1,0%
candle_allowance,2,1,50%,0,0,0,8,1,0%
cinder_warrant,2,0,0%,0,0,0,0,0,
dubious_authority,2,0,0%,0,0,0,8,0,
forfeit_seal,2,1,50%,0,0,0,5,1,0%
formal_dissent,2,1,50%,0,0,0,4,1,0%
hex_circular,2,0,0%,0,0,0,0,0,
licensed_disposal,2,0,0%,0,0,0,0,0,
night_docket,2,0,0%,0,0,0,0,0,
notary_beetle,2,0,0%,0,0,0,0,0,
skeleton_staff,2,1,50%,0,0,0,2,1,0%
summary_judgment,2,1,50%,0,0,0,5,1,0%
usurers_moon,2,0,0%,0,0,0,0,0,
wastepaper_bastion,2,1,50%,0,0,0,4,1,0%
waxen_surety,2,1,50%,0,0,0,4,1,0%
black_ledger,1,1,100%,0,0,0,1,1,0%
blacklisted,1,0,0%,0,0,0,0,0,
continuance,1,0,0%,0,0,0,0,0,
cross_filing,1,1,100%,0,0,0,1,1,0%
inkblot_verdict,1,0,0%,0,0,0,0,0,
notarial_press,1,0,0%,0,0,0,0,0,
presumption_of_error,1,0,0%,0,0,0,0,0,
privy_seal,1,0,0%,0,0,0,0,0,
sanctioned_charm,1,0,0%,0,0,0,0,0,
seal_dividend,1,0,0%,0,0,0,0,0,
tallow_budget,1,0,0%,0,0,0,0,0,
tallow_reserve,1,0,0%,0,0,0,0,0,
threefold_injunction,1,0,0%,0,0,0,0,0,
authorized_entry,0,0,,0,0,0,6,0,
authorized_expedition,0,0,,0,0,0,2,0,
break_the_seal_of_access,0,0,,0,0,0,2,0,
break_the_seal_of_execution,0,0,,0,0,0,2,0,
break_the_seal_of_testimony,0,0,,0,0,0,2,0,
clause_protective,0,0,,0,0,0,1,0,
duplicate_copy,0,0,,0,0,0,7,0,
fragment_of_access,0,0,,0,0,0,1,0,
fragment_of_execution,0,0,,0,0,0,1,0,
missing_signature,0,0,,0,0,0,1,0,
summons_to_appear,0,0,,0,0,0,1,0,
wrong_form,0,0,,0,0,0,1,0,
