ended_utc,player,player_id,seed,character,result,reached,answers,rooms,resumes,engine,content,file,sha256
2026-09-22T22:36:40.9598322Z,Derin,8ef75b3f4fc7,1790116173,bureaucrat,Defeat,1.12 r11c0,136,14,0,1.0.0+65406aeae441fa272e71325fc21ea3cb20833f29,deebd7956e4e57f6,runs/derin-8ef75b3f4fc7/2026-09-22-seed1790116173-defeat-9ef8f05c.json,9ef8f05c3eeae00ddd32cc03797aa292179f08eac3f8ac96e49d33c6a90902af
2026-09-23T17:20:48.0969127Z,Derin,8ef75b3f4fc7,249771018,bureaucrat,Abandoned,1.4 r3c1,40,5,0,1.0.0+65406aeae441fa272e71325fc21ea3cb20833f29,deebd7956e4e57f6,runs/derin-8ef75b3f4fc7/2026-09-23-seed249771018-abandoned-2fe9f2a8.json,2fe9f2a86a81c25475a3a54375c8b08218bd69430deab0978dcce73888d70a15
2026-09-23T18:01:15.3963061Z,Derin,8ef75b3f4fc7,249771018,bureaucrat,Defeat,1.12 r11c0,131,14,0,1.0.0+cee927acf4693890f929d19a5ff269e18465de64,deebd7956e4e57f6,runs/derin-8ef75b3f4fc7/2026-09-23-seed249771018-defeat-62c50a4d.json,62c50a4de45ba4dc501e7cc692dc2dc06cd5ca23b4ce3031893832a0cd07a8b7
2026-09-23T20:37:13.9128239Z,Erster,94c37b2a8fd2,249771018,bureaucrat,Defeat,1.23 r22c0,337,25,0,1.0.0+cee927acf4693890f929d19a5ff269e18465de64,deebd7956e4e57f6,runs/erster-94c37b2a8fd2/2026-09-23-seed249771018-defeat-43bd00ab.json,43bd00ab4cf2f03ad46d10f460bc4c6fd54c9c660ab108086af06df3994f2fdc
2026-09-24T11:01:45.4066332Z,BigPP,f4e9fc8dec0c,165882923,bureaucrat,Defeat,1.13 r12c0,208,15,0,1.0.0+cee927acf4693890f929d19a5ff269e18465de64,deebd7956e4e57f6,runs/bigpp-f4e9fc8dec0c/2026-09-24-seed165882923-defeat-8c6d1370.json,8c6d1370d01f9accb8b44077574c2349778ee27e400224bedfba7dbfbfd8b677
2026-09-24T12:20:35.2273509Z,timez,28ce061daa8f,1790250072,bureaucrat,Defeat,2.6 r5c0,494,32,1,1.0.0+cee927acf4693890f929d19a5ff269e18465de64,deebd7956e4e57f6,runs/timez-28ce061daa8f/2026-09-24-seed1790250072-defeat-bb104124.json,bb104124fdced48a57c6674319900c73af2666a8cf1d850e9ac824cc84b3d480
2026-09-24T20:57:37.8856973Z,Quintus,c71b7dcb6ee4,165882923,bureaucrat,Defeat,2.6 r5c0,464,32,0,1.0.0+cee927acf4693890f929d19a5ff269e18465de64,deebd7956e4e57f6,runs/quintus-c71b7dcb6ee4/2026-09-24-seed165882923-defeat-1be3a2fe.json,1be3a2fe6b583923414525dcf92cceb2ad8d60bcb61ae666cd8d1351157c250a
2026-09-25T11:50:35.7661752Z,Quintus,b55c14117975,165882923,bureaucrat,Defeat,2.9 r8c0,451,35,1,1.0.0+cee927acf4693890f929d19a5ff269e18465de64,deebd7956e4e57f6,runs/quintus-b55c14117975/2026-09-25-seed165882923-defeat-3b4c694c.json,3b4c694c33834435707a47ffa0f3375e00a236ac42214e84720da542ea0a1e1c
2026-09-25T12:16:29.0212302Z,Derin Büro,724ceaf49788,165882923,bureaucrat,Abandoned,4.2 r1c0,1304,78,6,1.0.0+cee927acf4693890f929d19a5ff269e18465de64,deebd7956e4e57f6,runs/derin-b-ro-724ceaf49788/2026-09-25-seed165882923-abandoned-9f42a933.json,9f42a9336ceba1e41005f49283d67b7b72070c24fc11390b1da59e0e4c3e4c18
2026-09-25T12:51:47.8879984Z,Sandale,08d139c2c9fd,1790325133,bureaucrat,Defeat,5.1 r0c0,2380,113,0,1.0.0+cee927acf4693890f929d19a5ff269e18465de64,deebd7956e4e57f6,runs/sandale-08d139c2c9fd/2026-09-25-seed1790325133-defeat-679df04a.json,679df04a2b17ee82ac8be766d54df0089ce534cd166f01c4ca6dbf2a3e86e2a9
